@relation sentimen_twit 
@attribute term string 
@attribute target {positif, negatif, nonopini} 
@data
"habis khilaf masuk saja pipi pakai indosat sinyal penuh 3g buka ",positif
"indosat kptti tower jakarta pusat jakarta ",nonopini
"settingnya bisa diliat disini ada yang setting modem membuat indosat ",nonopini
"rt indosat menampilkan monstar dengan teknology augmented reality ",positif
"totalitas ngakak pentungan polpp pentung pakai tower indosat yogiensane saya kembali ",nonopini
"call center kartu halo berubah jadi 113 dan yang biasa 111 jadinya membuat pelanggan indosat weird ",nonopini
"sarinah mungkin om jam galeri indosat yang plg deket dengan pancoran itu di mana tutupnya jam berapa terimakasih 8d ",nonopini
"saya mampir stand indosat ulul sek okii kalau jadi ke basecamp saya titip marlboro putih ",nonopini
"bayar 50rb ke saya nanti pulsa masuk 10rb dihp pulsanya langsung dari hp saya transfer pulsa sesama indosat itu ",nonopini
"kelabilan kegalauan dapat kita lihat dari gampangnya sesorang trprovokasi oleh yang tdak penting mknya dari it pakai indosat anti galau ",nonopini
"gin ingin ngambil payung males rumah kamunya ada apa dengan indosat ",nonopini
"tryout di sekolah tryout tryout indosat tryout muaccch ",nonopini
"indosat ada saya pernah pakai sebulan cepe ",nonopini
"mbk juga im3 oalahrt pakai im3 mbk im3 juga sma pakai ap indosat gsm ",nonopini
"skaran alesan im2 dengan indosat digabung <makian> ",negatif
"hhayyoookkk migrasi ke indosat xl kaaaaauuuuuu ",nonopini
"prof mau membuat kuis berhadiah pulsa 5ribu indosat yang mau ",nonopini
"datangilah nggun haha kalau nak saya datangi indosat biso be rumah ini keluar lorong ",nonopini
"habis dari galeri indosat membetulkan nomor mampir ke lippo haha ",nonopini
"rt sekarang telkomsel indosat saja kualitasnya ",nonopini
"kmren saya bb off indosat gangguan ",negatif
"jam segini telepon cs curiga cs indosat ini katakan atau kumur lidah sik ",nonopini
"paket indosat mahal ",negatif
"galeri indosat dimana ",nonopini
"ke indosat minta ke indosat sholih rmd mana caranya motong simcard card agar jadi micro simcard ",nonopini
"ingin beli kartu indosat membuat bb satu ",nonopini
"085643099 mau telepon siapa bonusan telpooon nomor indosat pliiis ",nonopini
"pakai indosat dari kelas sma cek poin senyum membuat nntn gratis di blitz saja sampai ",nonopini
"rtwkwk xl indosat dongrt pakai simpati ",positif
"surat kecil untuk tuhan dapat surat dari indosat isssh kartunya hilang ",nonopini
"indosat photography competition ",nonopini
"telepon bisa sms juga bisa minta ddemo juga ney indosat ",nonopini
"baik terimakasih indosat ",nonopini
"iklan indosat mobile lewat ",nonopini
"rt aufarahmaaa 12 jendral gentayangan depan indosat pandanaran jm ",nonopini
"sama aza itu masuk saja indosat iyalah maieeel mendingan axis xl ",nonopini
"indosat perhatian sangat unggal poe ngesmsin saya abong meuli pulsa ",negatif
"omg ada apa dengan indosat ",negatif
"percantik jaringan indosat kucurkan rp triliun via ",nonopini
"indosat big momma itu siapa yang sms males lihat ",nonopini
"belum beli masuk bingung tetap setia di telkomsel dan indosat apa nyebrang ke operator lain ",nonopini
"rt indoshit indosat ini ugal ugalan ",negatif
"huaa baru update telkomsel badut sekarang pakai indosat hho ",nonopini
"inisialnya indosat provider yang satu ini yang berinisial indos seperti iklannya kamseupay ",negatif
"rt tower telkomsel dan indosat disegel warga ",nonopini
"masuk ada 2d sent my blackberry powered sinyal kuat indosat ",nonopini
"sebagai pelanggan indosat selalu jengkel selalu sulit mengakses internet lwt bb ",negatif
"jaringan 3g indosat masuk pku belum soalnha koran lihat advetorial indosat bundling dengan ponsel android ",nonopini
"twitnya pending maklum indosat itu tweet 10mnt iqomahrt masuk bisa ngetwitt ora jum atan ",negatif
"masa axis indosat oalaaah indosat itu axis kalau xl mati ti xl this ",nonopini
"emk sista bagusan simp indosat ",positif
"saya dikira sms dari ternyataa indosat ",nonopini
"wah saya tnya nurul cobak kalau xl nis cb cr di 777 cr yang indosat intrnet ",nonopini
"ke saja wkwkrt nurulp12 move on ke indosat wkwkwkwkwk ",nonopini
"indosat error nyet ",negatif
"rt di carrefour plaza ambarukmo ada motor yang dibranding indosat di stand lt2 yang jalan2 bisa mampir siapa hadiah yamahafino membuat ",nonopini
"diduga korupsi jaringan kejagung geledah kantor indosat welcome to suryainside membuat hidup jadi hidup ",nonopini
"pakai indosat matrix coy ",nonopini
"saatnya pengumuman pemenang kuis siapa yang bakal dapat buku dan pulsa 50rb dari dan indosat ",nonopini
"banting hp ra paket bb harian indosat dari bulan yang belum ke unreg juga sampai sekarang di unreg berkali tidak-bisa ",nonopini
"mahaal jam sibuk seperti ini perlu khawatir menelepon rekan bisnis dengan indosat hanya rp 300 menit nelepon ",nonopini
"jl thamrin ditutup ratusan mahasiswa trisakti dari gedung indosat sampai bundaran haha ",nonopini
"point indosat bisa ditukar dengan merchandise cepat registrasi 888 ",nonopini
"ini indosat ada sinyaaaal aaaak ceritanya ada emoticon disini ",nonopini
"telkomsel atau indosat ",nonopini
"saya cinta karo indosat mergo terpaksa ",positif
"indosat raih peringkat idaa ",nonopini
"rt kuis indosat sist ",nonopini
"untuk menggunakan layanan sms twitter indosat harus mendaftarkan nomor hp ",nonopini
"daftarkan nomor sekarang juga dengan menikmati indosat community ",nonopini
"telkomsel di hp nexian paten bisa di ganti kalau nokia saya pakenya indosat kalau whatsapp on pulsa jalan terus ",nonopini
"meeting kantor pusat pt indosat others ",nonopini
"indosat kurang cocok di tanah padang pending ",negatif
"rt megawati indosat telkom di gondol asing srt pnandatangan ijin pt freeport mngakangi papua sampai 2035 apanya wong cilik ",nonopini
"galeri indosat aktifasi paket unlimited m3 ada yang ",nonopini
"pakai indosat nomor buffer bagi fans harry potter kini saatnya via mytrans trans tv yahh nomor buffering ",nonopini
"mbengggbes sinyal kuat jaringan indosat lngsng sinyale duwurmen ",nonopini
"sms indosat dan transaksi tronik dapat kembali dilakukan system jaringan kembali normal terima kasih ",nonopini
"rt indosat sekarang yang pending iuh bangcat ",negatif
"kalau indosat di pesona jay itu indosat di margonda residen jay ada yang ",nonopini
"warga segel tower telkomsel dan indosat di batam penyegelan ini dilakukan pihak ",nonopini
"dihati vie service kartu indosat dimana ",nonopini
"yang donor darah di indosat tanggal 11 banyak2 donor soal ada acara donor darah juga di ",nonopini
"ternyata pulsaku habis bruakakaka iklan indosat senyum ngakak sangat ",nonopini
"min di bb bisa buka email padahal saya pakai paket bb irit dari indosat ",nonopini
"kalau kartu simcard indosat invalid itu ada yang benerinnya ",nonopini
"skema lengkap tarif indosat mobile abonemen dapat simak di ",nonopini
"rt benci sangat indosat <makian> sms terus anying ",negatif
"come visit indosat mobile stand shopping street nagoya hill 5th 11th april 2012 ",nonopini
"itu mangkonyo pakai indosat wka jaringan kuat xl cacat ",positif
"saya ada yang pakai indosat ",nonopini
"mksh mau bntu saya itu iklan indosat mau tanya apa saya jubir drt ",nonopini
"ndeh pakai smart juga ayo ke axis dengan smart fierda saja saya ingin demo nak indosat fuh fuh ",nonopini
"hujan saya masuk di indosat ",nonopini
"berpindah ke indosat selamat tinggal sos axis haha ",nonopini
"latihan duta tadi latihan ngapain disana still indosat sekupang someone ",nonopini
"pulsaku ntek carane 889 nek indosat ",nonopini
"datang kemana indosat janji datang tanggal 26 maret eeeh baru mau datang capedeeeh ",nonopini
"rt original mission impossible4 ghost protocol dan ghost rider2 sewa film tunjukkan sinyal indosat free perdana im3 ",positif
"dpan indosat msuk gang di situ kalau dpan depnaker ",nonopini
"marah2 membuat cepat tua haha marahi sna budhe ben damai haha podo saja berarti xl sma indosat akur ",nonopini
"musim ujan ganti sepatu kalian dengan crocs disini ori murah dijamin langsung saja 32e277f5 08562886668 indosat ",nonopini
"mau saya kuis ayo mau habisin pulsa indosat ",nonopini
"haha wkt itu diundang mng sma indosat ",nonopini
"haha tweeps setiap reload isi ulang indosat 50k mendapatkan pcs nutrisari rtd fruit veg 200 ml ",nonopini
"10 tahun kita jadi anggota dewan mari kita turunkan bbm paket bbm indosat apo telkomsel haha ",nonopini
"ada twitter masuk bertualang di indosat keliling indonesia ",nonopini
"ada yang bisa sampein komplen dan rasa sebal saya ke indosat pulsa disunat terus bis langganan seminggu keputus di hari ke bedebah ",negatif
"indosat om ",nonopini
"tweeps fyi indosat terus tingkatkan kapasitas jaringan dan kualitas layanan info ",nonopini
"makanya pakai indosat haha ",nonopini
"gpp saya gagal nyekil tronik masuk bisa nyekil indosat ",positif
"haha nomor indosat itu masak itu nomor im3 perasaan awalny 0856 0857 0858 ",nonopini
"dapat kartu indosat mobile pascabayar ngerti pemakaian itu percuma sangat gretongan makanya mau haha ",nonopini
"haha beri modal dunk indosat ganti kartu saja ",nonopini
"ass min mau fan page facebook indosat mania kirim link ",nonopini
"rt panggung indosat ",nonopini
"trik internet gratis indosat 28 29 maret 2012 dipublikasi oleh prediksi ",nonopini
"janji pending baru dari indosat kartu indosat solusi paling saat ",negatif
"inbox isinya dari indosat ",nonopini
"senyum indosat pertanyaan adalah nama program penukaran poin indosat ",nonopini
